Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Stat Ind,Loc Type Ind,Eff Date,Inact Date,TSP,TSP Name,TSP FERC CID,Update D/T,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name
" 45401","TEXAS EASTERN - STORAGE (R-INJ 40401/D-WTD 40402)",LA,ST LANDRY,N/A,B,A,INT," 20081101",," 614834559","Bobcat Gas Storage",C001706,20190725 14:00:06,Y,"TEXAS EASTERN TRANSMISSION, LP"," 007932908",,Y,C000094," 75553","BOBCAT STORAGE - (D73553/R73554)"
" 45403","TRANSCO - STORAGE (R-INJ 40403/D-WTD 40404)",LA,ST LANDRY,N/A,B,A,INT," 20081101",," 614834559","Bobcat Gas Storage",C001706,20190725 14:00:14,Y,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"," 007933021",,Y,C000654," 9004104","BOBCAT STG I/C"
" 45405","FLORIDA GAS - STORAGE (R-INJ 40405/D-WTD 40406)",LA,ST LANDRY,N/A,B,A,INT," 20081101",," 614834559","Bobcat Gas Storage",C001706,20190725 14:00:23,Y,"FLORIDA GAS TRANSMISSION COMPANY, LLC"," 006924518",,Y,C000255," 78468/78467","BOBCAT GAS STORAGE (DEL)/BOBCAT GAS STORAGE (REC)"
" 45407","GULF SOUTH - STORAGE (R-INJ 40407/D-WTD 40408)",LA,ST LANDRY,N/A,B,A,INT," 20081101",," 614834559","Bobcat Gas Storage",C001706,20190725 14:00:30,Y,"GULF SOUTH PIPELINE COMPANY, LLC"," 078444247",,Y,C000591," 23361","BOBCAT STORAGE INJ/WD"
" 45409","ANR - STORAGE (R-INJ 40409/D-WTD 40410)",LA,ST LANDRY,N/A,B,A,INT," 20081101",," 614834559","Bobcat Gas Storage",C001706,20190725 14:00:37,Y,"ANR PIPELINE COMPANY"," 006958581",,Y,C000623," 742882/742883","BOBCAT STORAGE (REC)/BOBCAT STORAGE (DEL)"
" 49400","BOBCAT STORAGE FACILITY",LA,ST LANDRY,N/A,D,A,STR," 20081101",," 614834559","Bobcat Gas Storage",C001706,20240725 08:34:47,N,," ",,N,,,
